AccommodationID,AccommodationName,OwnerIDCardNumber,CityDistrictID,StreetAddress,AccommodationTypeID,NumberOfRooms,Capacity,PricePerNight
ACM000000125,Immuron Limited,893583278637,239,3834 Magdeline Terrace,FS,6,16,1035591.0
ACM000000127,"Hawaiian Electric Industries, Inc.",127877677541,210,37718 Birchwood Avenue,VL,4,15,1420268.0
ACM000000128,"Cellular Biomedicine Group, Inc.",611501621513,470,28130 Kenwood Place,DP,6,14,2590073.0
ACM000000129,Double Eagle Acquisition Corp.,838341359944,275,8 Namekagon Pass,VL,5,10,3420861.0
ACM000000131,,300156163213,53,9261 2nd Avenue,RS,6,10,145149.0
ACM000000132,,699824259470,593,86 Hanover Avenue,PH,1,14,4594202.0
ACM000000134,"Church & Dwight Company, Inc.",999644072628,506,92 Melvin Street,TH,4,7,4783830.0
ACM000000135,La Jolla Pharmaceutical Company,959578451054,177,95955 Meadow Valley Alley,BG,2,18,1946631.0
ACM000000136,SBA Communications Corporation,453054157989,291,2 Kim Hill,BG,6,7,3849457.0
ACM000000137,"Entergy New Orleans, Inc.",100677932259,503,51 Merchant Crossing,DP,2,4,1358872.0
ACM000000141,"NextEra Energy, Inc.",431748159466,143,9 Brickson Park Avenue,DP,5,15,1716244.0
ACM000000142,,257749160219,394,59 Delaware Circle,CD,1,6,1030018.0
ACM000000144,,820975475015,677,2 Chinook Center,ST,1,2,1106638.0
ACM000000149,"Anthem, Inc.",697894803476,19,09 Scoville Parkway,FS,2,6,3057262.0
ACM000000151,,562160093149,193,2071 Hoepker Pass,TH,5,5,4642605.0
ACM000000152,,576267393427,316,1198 Buena Vista Junction,FS,2,20,263765.0
ACM000000155,,512039666929,239,71 Dawn Plaza,PH,1,13,1215197.0
ACM000000156,,707349677030,35,73348 Reindahl Lane,RS,6,13,4145821.0
ACM000000157,,519638035213,632,0904 Steensland Trail,TH,4,2,2266753.0
ACM000000158,,399600718292,303,70376 Anderson Road,BG,5,8,3886705.0
ACM000000159,,286979705567,520,396 Arapahoe Trail,VL,3,13,4271033.0
ACM000000160,,456200320319,648,454 Acker Point,DP,3,17,4442663.0
ACM000000163,Quotient Limited,431383206896,417,366 Fieldstone Alley,BG,2,13,3919619.0
ACM000000164,ReWalk Robotics Ltd,606105013659,328,6 Harbort Road,CD,1,15,1035231.0
ACM000000165,,820975475015,689,10074 Haas Court,HS,4,11,2674093.0
ACM000000166,"USANA Health Sciences, Inc.",838703457557,359,9906 Loftsgordon Drive,BG,3,7,3731489.0
ACM000000167,Charter Financial Corp.,607293056035,120,88 Northfield Center,RS,4,7,346318.0
ACM000000168,,603108827655,385,29 Moulton Terrace,PH,1,19,1885975.0
ACM000000170,,716794025890,651,8 High Crossing Terrace,DP,6,5,999254.0
ACM000000171,,289276262197,401,74693 Duke Lane,FS,5,14,404512.0
ACM000000173,,771791444763,310,143 Ilene Point,CD,1,3,1019870.0
ACM000000174,,257994280838,433,8 Meadow Valley Road,CD,1,10,4258708.0
ACM000000176,"Liberty All-Star Growth Fund, Inc.",54471860007,671,070 Elka Street,BG,3,10,472203.0
ACM000000177,Capital Bank Financial Corp.,727497370639,257,16956 Elmside Parkway,RS,6,13,4270494.0
ACM000000178,,300156163213,75,23 Pierstorff Alley,PH,1,8,542301.0
ACM000000179,,218041803454,130,6 Luster Trail,CD,1,18,1072892.0
ACM000000180,"First Interstate BancSystem, Inc.",654004162292,314,670 Jana Point,HS,6,6,2957286.0
ACM000000181,AllianzGI Equity & Convertible Income Fund,877207064106,664,6 Harper Junction,DP,3,4,4340288.0
ACM000000182,,448789660860,215,7040 Glendale Park,TH,4,4,2560670.0
ACM000000184,,652950529225,211,04 Susan Road,HS,2,11,3592037.0
ACM000000185,,823284309503,510,0884 Farwell Way,ST,1,10,1904851.0
ACM000000188,,289276262197,327,8185 Arrowood Parkway,VL,6,10,552858.0
ACM000000189,,33111207906,568,9 Russell Park,PH,1,8,417406.0
ACM000000190,RAIT Financial Trust,254234622092,575,17759 Village Green Parkway,VL,6,3,2486269.0
ACM000000192,Axovant Sciences Ltd.,55141168283,36,32 Eastlawn Center,FS,5,4,2661886.0
ACM000000193,"Civista Bancshares, Inc. ",773734046140,143,535 Red Cloud Plaza,CD,1,17,3615524.0
ACM000000194,,844337223887,308,8 Goodland Street,RS,5,5,2829590.0
ACM000000196,,382443607209,148,0779 Beilfuss Circle,TH,3,16,4830982.0
ACM000000197,,643941890539,67,026 Russell Center,RS,5,12,243286.0
ACM000000199,Managed Duration Investment Grade Municipal Fund,872100963350,349,97649 Del Sol Court,VL,2,20,4916111.0
ACM000000200,,586489799194,294,7180 Arrowood Road,ST,1,12,2088335.0
ACM000000201,,393390841129,331,98 Crescent Oaks Terrace,HS,6,3,4740240.0
ACM000000202,,507431045893,668,369 Sachtjen Park,CD,1,9,4181532.0
ACM000000203,"DWS High Income Opportunities Fund, Inc.",986683954318,332,4956 Monterey Crossing,BG,2,5,3662066.0
ACM000000204,Clearwater Paper Corporation,438749468006,653,4 Schurz Court,VL,6,12,3658491.0
ACM000000205,,927077812693,11,843 Kennedy Way,PH,1,12,1321792.0
ACM000000206,IRIDEX Corporation,84720144175,447,9 Messerschmidt Point,BG,5,3,4645837.0
ACM000000207,"Pulse Biosciences, Inc",55141168283,384,0 Prentice Drive,PH,1,7,3435916.0
ACM000000211,,744815353700,437,6 Melrose Circle,CD,1,13,951961.0
ACM000000213,"Total System Services, Inc.",245252140052,202,6 Lukken Park,RS,6,10,3927984.0
ACM000000214,,758630170579,411,4912 East Drive,ST,1,13,3591330.0
ACM000000216,,297229395061,564,408 Bultman Drive,CD,1,2,1209481.0
ACM000000218,,251657497889,179,67 Cascade Drive,HS,6,3,3307844.0
ACM000000219,Colonial High Income Municipal Trust,272437344922,570,78 Sundown Park,RS,5,2,1687471.0
ACM000000220,MFS Intermediate Income Trust,201863600586,126,9395 Hudson Drive,PH,1,13,349648.0
ACM000000221,EPR Properties,942243840689,15,68651 Washington Drive,CD,1,8,4450871.0
ACM000000222,,791901638154,516,7 Northland Parkway,CD,1,19,4337120.0
ACM000000223,,354288711567,497,93324 Starling Avenue,ST,1,4,3779349.0
ACM000000224,"Pieris Pharmaceuticals, Inc.",100070578554,438,748 Hanover Point,DP,3,13,3303657.0
ACM000000225,Kimco Realty Corporation,659817819188,629,2744 Susan Lane,BG,4,9,759798.0
ACM000000229,,904099535170,135,849 Muir Pass,VL,5,11,805044.0
ACM000000230,,11136019710,695,590 Tony Trail,PH,1,18,390938.0
ACM000000231,,492582013975,649,487 Leroy Hill,RS,5,16,2878670.0
ACM000000232,,791901638154,576,0 Burrows Junction,RS,3,16,731484.0
ACM000000234,,700372838956,460,3 Sommers Trail,DP,4,7,4310074.0
ACM000000239,,100677932259,499,33630 Village Green Lane,ST,1,8,3801530.0
ACM000000240,"Eagle Bancorp Montana, Inc.",371166424587,96,82 Darwin Avenue,FS,5,11,4159127.0
ACM000000241,,638619186658,161,842 Carey Point,TH,4,2,1924301.0
ACM000000243,,453054157989,255,3435 Gina Crossing,PH,1,9,655209.0
ACM000000244,Blackstone / GSO Strategic Credit Fund,474096830956,666,46098 Veith Point,HS,5,14,3530103.0
ACM000000245,,334647433820,355,62 Petterle Way,RS,5,3,980934.0
ACM000000247,,692828980144,524,721 Heath Park,TH,4,18,2858745.0
ACM000000248,OncoGenex Pharmaceuticals Inc.,453525566249,633,0 Merry Drive,ST,1,2,3464479.0
ACM000000251,"Catabasis Pharmaceuticals, Inc.",883265960573,539,80 Manufacturers Junction,PH,1,3,245644.0
ACM000000253,,783205912393,274,70074 Roth Point,PH,1,11,1802175.0
ACM000000254,,141847376805,499,451 Banding Hill,TH,6,8,4904447.0
ACM000000255,CAE Inc,311010903778,199,57999 Helena Road,VL,5,10,3260545.0
ACM000000256,Caesars Acquisition Company,936641125404,334,6 Oxford Drive,VL,6,10,1530935.0
ACM000000257,,161601024124,177,848 Columbus Court,HS,2,12,3772548.0
ACM000000258,"CASI Pharmaceuticals, Inc.",606213566420,425,621 Stephen Park,BG,6,16,4759311.0
ACM000000259,,286492283225,311,69324 Del Sol Way,PH,1,20,4725423.0
ACM000000260,,242939853842,695,78497 Darwin Terrace,PH,1,2,726301.0
ACM000000262,,58897000479,50,1455 Hollow Ridge Pass,BG,5,5,1662676.0
ACM000000263,,529763076097,60,12 Glacier Hill Road,DP,4,5,3180513.0
ACM000000264,"Allscripts Healthcare Solutions, Inc.",787869996090,575,0639 Tennyson Terrace,PH,1,9,2561463.0
ACM000000265,iPath US Treasury 5-year Bear ETN,737645629,415,885 Columbus Terrace,TH,6,2,2073306.0
ACM000000266,,102320549156,251,933 Amoth Place,TH,2,4,4180197.0
ACM000000267,,143732566251,284,2 Colorado Avenue,HS,5,19,3393448.0
ACM000000268,"Gevo, Inc.",660666053520,377,5341 Sloan Center,BG,4,2,2824213.0
ACM000000269,,729449815609,430,0 Springs Point,BG,5,11,1250771.0
ACM000000270,PartnerRe Ltd.,599368308430,369,8954 Granby Court,CD,1,20,4225340.0
ACM000000272,,904099535170,688,04 Onsgard Court,CD,1,11,2323678.0
ACM000000273,,193798395734,568,54 Independence Alley,FS,4,19,897790.0
ACM000000275,NIC Inc.,298628448324,226,8 Schlimgen Way,PH,1,18,2237817.0
ACM000000276,"Lifetime Brands, Inc.",897394493971,348,9038 Texas Circle,PH,1,12,1984107.0
ACM000000277,"Arrow Electronics, Inc.",856537899380,19,6 Loeprich Court,CD,1,19,3020104.0
ACM000000278,,603750489997,49,71156 Buhler Way,ST,1,7,1892442.0
ACM000000279,Heska Corporation,203612704052,186,1 Cambridge Court,ST,1,7,4120859.0
ACM000000281,Hancock Holding Company,431735303098,488,566 Thierer Way,CD,1,2,868158.0
ACM000000282,,872128245202,265,27358 Anthes Point,HS,6,12,4196696.0
ACM000000283,,768394196461,277,825 Elka Terrace,TH,3,15,4417733.0
ACM000000284,,529180022544,335,8 Cherokee Way,TH,3,3,573119.0
ACM000000285,NASDAQ TEST STOCK,242939853842,636,7 Dunning Plaza,RS,2,15,4629646.0
ACM000000286,,10784341907,512,4634 Northport Place,VL,5,5,4218666.0
ACM000000288,,283365079760,16,40 Artisan Parkway,DP,2,19,549293.0
ACM000000292,Quest Diagnostics Incorporated,773902041499,105,1 Esker Plaza,DP,4,10,4346590.0
ACM000000293,Nuveen New York AMT-Free Quality Municipal,938752213189,415,2 Tony Avenue,ST,1,19,143839.0
ACM000000295,"NextEra Energy Partners, LP",775950106912,379,08 Namekagon Alley,CD,1,13,3474299.0
ACM000000299,,814133709339,104,83 Eastlawn Pass,ST,1,13,652971.0
ACM000000300,"PC Connection, Inc.",244219563283,325,3992 Twin Pines Trail,ST,1,7,1951235.0
ACM000000302,Big 5 Sporting Goods Corporation,893491213652,226,74 Blue Bill Park Avenue,CD,1,15,3748382.0
ACM000000304,PIMCO Income Strategy Fund II,237401067301,596,0 Orin Court,RS,4,3,1997236.0
ACM000000306,"Valeant Pharmaceuticals International, Inc.",599368308430,395,8905 New Castle Way,ST,1,6,2400022.0
ACM000000308,"CYS Investments, Inc.",284896899268,694,88 6th Terrace,FS,5,2,4083549.0
ACM000000309,Qwest Corporation,216029233692,371,30 Sachs Hill,ST,1,13,2119711.0
ACM000000311,Altisource Portfolio Solutions S.A.,605169656597,47,8458 Pearson Way,RS,4,19,3326668.0
ACM000000313,,804475927334,217,9733 Longview Crossing,PH,1,9,1535315.0
ACM000000314,Restaurant Brands International Inc.,897265246084,583,3 Novick Way,ST,1,14,505733.0
ACM000000316,"Genocea Biosciences, Inc.",117139865085,101,4 Mariners Cove Alley,HS,3,17,1057740.0
ACM000000319,,73639929310,93,8 Morningstar Drive,PH,1,3,4163443.0
ACM000000321,,762890393882,639,19047 Crest Line Circle,CD,1,6,4684537.0
ACM000000322,U.S. Bancorp,316051168560,518,66206 Summerview Crossing,BG,4,14,3651543.0
ACM000000324,,529826119741,275,273 Village Pass,HS,2,17,2054079.0
ACM000000326,,800230629402,558,1841 West Way,FS,6,19,122955.0
ACM000000328,Canadian Imperial Bank of Commerce,690339623084,614,6172 Florence Place,ST,1,16,1567236.0
ACM000000329,E.W. Scripps Company (The),893654486677,131,4082 Lunder Crossing,FS,6,10,4080811.0
ACM000000330,,507431045893,543,319 Montana Lane,HS,5,19,2978515.0
ACM000000331,,434916579525,55,11 Crescent Oaks Center,RS,2,13,306814.0
ACM000000333,,820975475015,416,4551 Vera Parkway,HS,3,4,1072992.0
ACM000000334,,668821119388,287,9614 Calypso Drive,HS,6,9,2088978.0
ACM000000335,"United Dominion Realty Trust, Inc.",431748159466,267,851 Lerdahl Court,RS,5,13,1597690.0
ACM000000339,Citizens Holding Company,232788688828,519,824 Arizona Junction,VL,4,5,2356095.0
ACM000000340,,352063730537,57,200 Melrose Park,VL,4,19,4206034.0
ACM000000342,DTE Energy Company,416603664612,446,99289 Monica Hill,RS,6,12,752857.0
ACM000000344,"Syndax Pharmaceuticals, Inc.",180214289259,622,8654 Luster Point,FS,2,3,1628327.0
ACM000000345,,723188270128,580,2 Fairfield Park,DP,6,16,3544922.0
ACM000000346,,67366344531,456,941 Oxford Circle,DP,5,11,2223221.0
ACM000000349,,90997017836,240,6 Sheridan Hill,ST,1,14,4779571.0
ACM000000350,,601289928207,520,8134 Fuller Hill,RS,4,10,4416800.0
ACM000000352,,300156163213,66,19834 1st Way,ST,1,19,657588.0
ACM000000353,Aircastle Limited,773902041499,569,6521 Novick Place,ST,1,14,2490678.0
ACM000000355,VictoryShares US Discovery Enhanced Volatility Wtd ETF,866806093967,359,35094 Towne Place,TH,3,17,4428224.0
ACM000000356,"Xenith Bankshares, Inc.",991640557574,405,3 Eggendart Lane,DP,6,8,2530576.0
ACM000000359,Mallinckrodt plc,604020241870,195,1 Orin Junction,BG,2,3,1818639.0
ACM000000360,,300156163213,103,2384 Hoffman Hill,FS,6,13,1593176.0
ACM000000361,,620991103131,35,640 Armistice Way,DP,3,18,1839803.0
ACM000000362,,389069063540,323,84800 Veith Drive,ST,1,20,1317372.0
ACM000000363,,382443607209,565,79 Tennyson Drive,TH,2,14,3705261.0
ACM000000364,Cerus Corporation,122640230708,499,90237 Grayhawk Point,FS,3,5,1083389.0
ACM000000366,,773902041499,103,408 Gina Alley,BG,3,3,3804122.0
ACM000000368,,962642375431,433,2200 Scofield Crossing,HS,5,5,1686572.0
ACM000000370,,280705584909,348,309 Algoma Center,RS,4,16,3036922.0
ACM000000371,Astrazeneca PLC,576267393427,118,08 Evergreen Alley,ST,1,17,4563154.0
ACM000000372,,389069063540,441,82 Kennedy Terrace,DP,5,11,643804.0
ACM000000373,,120923557466,463,90 Waywood Parkway,RS,6,20,1368743.0
ACM000000374,"TeleTech Holdings, Inc.",280627824590,458,1 Grim Pass,BG,5,11,1196484.0
ACM000000375,,626470622128,179,36 Autumn Leaf Terrace,BG,6,2,847881.0
ACM000000376,,690158807925,514,825 Bellgrove Crossing,VL,4,15,2677124.0
ACM000000378,Nam Tai Property Inc.,161601024124,29,94 Reinke Junction,HS,4,10,566913.0
ACM000000379,,324965733001,282,6 Sachtjen Plaza,PH,1,9,4670799.0
ACM000000381,,838781646358,500,6 Grayhawk Point,ST,1,3,771863.0
ACM000000384,,517449332782,513,16 Muir Alley,BG,4,16,1944471.0
ACM000000385,,620339088997,560,082 Green Avenue,FS,5,18,3520693.0
ACM000000387,,388772472924,685,58 Stephen Street,FS,3,5,1897612.0
ACM000000388,,343204791502,381,3150 Stang Terrace,DP,2,5,4172323.0
ACM000000389,"Tempur Sealy International, Inc.",456200320319,108,58 Fordem Crossing,DP,2,15,4964264.0
ACM000000393,,710102651340,11,93 Kensington Way,BG,4,15,2288196.0
ACM000000394,,954755853486,584,9 Basil Lane,ST,1,12,4417543.0
ACM000000395,Agrium Inc.,776615812241,258,187 Ohio Center,DP,3,9,1807349.0
ACM000000397,,602538118295,656,384 Coleman Lane,PH,1,10,2964349.0
ACM000000398,,455239998207,570,6 2nd Road,VL,6,16,3487941.0
ACM000000399,Berkshire Hathaway Inc.,916816223278,220,6519 Grasskamp Plaza,PH,1,4,1542876.0
ACM000000400,,435279241488,696,12 Ohio Crossing,RS,5,8,3029945.0
ACM000000402,Phillips 66,413559687781,693,39790 Spaight Point,PH,1,18,992104.0
ACM000000403,"Valeritas Holdings, Inc.",868041976567,460,293 Muir Center,HS,4,8,4883948.0
ACM000000407,U.S. Bancorp,54471860007,560,236 Blackbird Place,HS,5,15,568982.0
ACM000000408,"Natural Alternatives International, Inc.",603108827655,156,49900 Manley Circle,VL,3,18,4994960.0
ACM000000409,Cantel Medical Corp.,954755853486,248,47 Iowa Street,VL,4,9,1212320.0
ACM000000410,,885006309420,73,0 Lighthouse Bay Road,TH,4,17,4455048.0
ACM000000411,,883265960573,359,971 Fairview Plaza,PH,1,20,1094070.0
ACM000000413,,533763018101,313,07 Daystar Trail,VL,4,10,1693046.0
ACM000000414,Affimed N.V.,218041803454,126,7 7th Hill,DP,3,10,2714420.0
ACM000000418,"NetScout Systems, Inc.",435279241488,313,18603 Scoville Alley,DP,3,11,409427.0
ACM000000419,,525646040779,137,622 Bartillon Crossing,HS,3,12,2419905.0
ACM000000420,Synovus Financial Corp.,482196517498,96,55619 Coolidge Center,BG,5,6,3214650.0
ACM000000421,,938858901389,685,60 Hanson Hill,CD,1,5,2319641.0
ACM000000422,,218178239924,286,50 La Follette Way,PH,1,12,1679701.0
ACM000000423,,607293056035,200,3 Grasskamp Hill,HS,5,11,2859424.0
ACM000000424,,654004162292,199,34 Division Plaza,RS,2,19,4257016.0
ACM000000425,,759131901132,151,8 Carberry Way,DP,2,6,3222323.0
ACM000000427,"Zoe's Kitchen, Inc.",840502109758,639,2489 Lyons Court,CD,1,2,692636.0
ACM000000431,,37098606210,260,69819 Sycamore Plaza,DP,4,5,4589919.0
ACM000000432,,515120791144,287,27971 Washington Circle,PH,1,3,1577823.0
ACM000000433,"Energy Transfer Partners, L.P.",586489799194,313,6062 Meadow Valley Circle,HS,6,2,3764028.0
ACM000000435,,627968767512,485,9 Saint Paul Center,FS,4,11,2043291.0
ACM000000438,"Latin American Discovery Fund, Inc. (The)",413559687781,117,77 Kim Circle,ST,1,20,4511585.0
ACM000000439,Appian Corporation,742118585708,597,571 Mandrake Center,ST,1,2,2439953.0
ACM000000442,BRT Apartments Corp.,955691158308,515,53475 Melvin Parkway,CD,1,15,2514598.0
ACM000000443,,647850102417,79,6 Hoepker Way,CD,1,6,2883081.0
ACM000000444,,962038058723,222,424 Merchant Circle,TH,5,15,3582822.0
ACM000000446,,64178108609,310,62 Fallview Circle,FS,6,19,1208724.0
ACM000000447,"Health Insurance Innovations, Inc.",434886250408,12,58478 Pawling Junction,FS,3,19,3892300.0
ACM000000449,ZTO Express (Cayman) Inc.,647850102417,290,655 Westport Park,DP,6,2,1421889.0
ACM000000450,,949632332937,578,959 Hagan Plaza,PH,1,8,1963784.0
ACM000000451,Main Street Capital Corporation,817844161750,201,38 Reinke Circle,VL,6,15,2854586.0
ACM000000452,,638619186658,504,5 Harper Pass,RS,3,19,4271200.0
ACM000000453,,926821527378,274,7 Springview Hill,HS,5,18,4577920.0
ACM000000454,,91995516417,61,2 Lotheville Lane,VL,5,9,1792772.0
ACM000000455,"Kura Oncology, Inc.",723188270128,216,1 Erie Place,ST,1,18,4568110.0
ACM000000456,"Owens-Illinois, Inc.",35596463691,10,1028 Morningstar Way,ST,1,14,1292936.0
ACM000000458,,783205912393,126,51046 Gale Avenue,FS,5,18,786885.0
ACM000000460,,621816645014,68,2008 Eliot Crossing,CD,1,7,4563300.0
ACM000000462,,692828980144,156,18 Cottonwood Street,VL,2,13,315714.0
ACM000000463,,731196740217,473,1 Dorton Point,ST,1,3,3674712.0
ACM000000464,,641082657185,638,433 Spohn Point,ST,1,7,2110935.0
ACM000000466,,600002034264,553,74185 Delaware Crossing,BG,5,7,1682787.0
ACM000000471,,147073006406,162,2785 Northridge Avenue,DP,2,15,3458408.0
ACM000000472,"Twenty-First Century Fox, Inc.",728535571743,591,3319 Havey Road,ST,1,7,4079820.0
ACM000000474,"Presidio, Inc.",180126128092,34,11 Burning Wood Parkway,TH,2,15,1743811.0
ACM000000475,,203612704052,207,40 Goodland Trail,BG,2,20,896448.0
ACM000000477,,848778730129,370,13 3rd Terrace,TH,5,13,469212.0
ACM000000480,Transdigm Group Incorporated,837202028453,199,5 Ruskin Pass,RS,5,16,2646473.0
ACM000000481,,138859261075,275,91 Shoshone Circle,VL,5,16,4458957.0
ACM000000482,"TPG Specialty Lending, Inc.",753297938242,514,6 Larry Place,ST,1,3,439197.0
ACM000000483,Cathay General Bancorp,74980008914,467,23 Shelley Plaza,DP,5,6,4456468.0
ACM000000484,Intel Corporation,659817819188,409,22 Mayfield Circle,RS,6,18,4290385.0
ACM000000486,"F5 Networks, Inc.",993600267748,269,760 Holy Cross Point,RS,6,14,3911969.0
ACM000000487,LendingClub Corporation,431748159466,271,88 Pennsylvania Pass,HS,3,13,876198.0
ACM000000488,First Trust International Multi-Asset Diversified Income Index,100677932259,635,22 Nancy Plaza,FS,5,7,3053219.0
ACM000000490,NeuroDerm Ltd.,11136019710,19,26165 Mayer Place,CD,1,2,401068.0
ACM000000492,,533763018101,546,68958 Aberg Road,ST,1,15,2005901.0
ACM000000494,,643783766733,307,048 Harbort Plaza,VL,3,13,3377709.0
ACM000000495,,692828980144,139,7979 Orin Road,TH,4,6,4568764.0
